IDX,DRV_NUM,DRV_DESC,DRV_MFR,DRV_MFR_NUM,DRV_PARAM_LIST,DRV_GRP_DESC
0,21520,"VARIABLE FREQUENCY DRIVE, 230V, 5 A",Yaskawa,CIMR-VU2A0006BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
1,21521,"VARIABLE FREQUENCY DRIVE, 460V, 3.4 A",Yaskawa,CIMR-VU4A0004BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
2,21522,"VARIABLE FREQUENCY DRIVE, 230V, 8 A",Yaskawa,CIMR-VU2A0010BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
3,21523,"VARIABLE FREQUENCY DRIVE, 460V, 4.8 A",Yaskawa,CIMR-VU4A0005BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
4,21524,"VARIABLE FREQUENCY DRIVE, 230V, 17.5 A",Yaskawa,CIMR-VU2A0020BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
5,21525,"VARIABLE FREQUENCY DRIVE, 460V, 9.2 A",Yaskawa,CIMR-VU4A0011BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
6,21540,"VARIABLE FREQUENCY DRIVE, 230V, 25 A",Yaskawa,CIMR-VU2A0030AMA-092,DRV_LIST_V1000,DRV_GRP_V1000
7,21541,"VARIABLE FREQUENCY DRIVE, 460V, 14.8 A",Yaskawa,CIMR-VU4A0018AMA-092,DRV_LIST_V1000,DRV_GRP_V1000
8,21573,"VARIABLE FREQUENCY DRIVE, 230V, 3A",Yaskawa,CIMR-VU2A0004BMA-092,DRV_LIST_V1000,DRV_GRP_V1000
